
OI,CHNG IN OI,VOLUME,IV,LTP,CHNG,BID QTY,BID,ASK,ASK QTY,STRIKE,BID QTY,BID,ASK,ASK QTY,CHNG,LTP,IV,VOLUME,CHNG IN OI,OI,
,539,-76,"2,726",33.37,0.35,-0.30,"1,000",0.30,0.35,"6,800","18,950.00",150,"1,291.80","1,303.25",150,-,"1,931.05",-,-,-,2,
,"52,645","-14,615","75,816",35.01,0.40,-0.30,"12,150",0.30,0.35,"27,200","19,000.00",950,"1,345.35","1,347.40",50,74.90,"1,343.70",57.75,"2,478","-1,370","3,510",
,662,-79,611,35.62,0.30,-0.20,"5,00,050",0.25,0.30,"1,000","19,050.00",150,"1,376.10","1,408.30",150,-,"2,072.90",-,-,-,7,
,"3,442",445,"10,868",36.13,0.25,-0.25,"4,19,350",0.25,0.30,"70,000","19,100.00",150,"1,441.70","1,452.55",400,-140.00,"1,410.00",-,9,-4,22,
,276,203,"3,341",38.40,0.30,-0.05,250,0.30,0.35,"1,000","19,150.00","1,800","1,462.80","1,514.25","1,000",-,"1,921.65",-,-,-,-,
,"3,706",-23,"3,527",38.32,0.25,-0.25,"4,71,100",0.25,0.30,"20,050","19,200.00",300,"1,529.85","1,552.65",200,-63.05,"1,576.95",82.12,2,-,13,
,210,-46,234,40.63,0.35,-0.10,"1,850",0.30,0.50,"1,200","19,250.00","1,800","1,558.30","1,626.90","1,000",-,-,-,-,-,-,
,482,-5,692,41.74,0.35,-0.10,300,0.30,0.40,"1,050","19,300.00",200,"1,637.70","1,650.15",150,19.00,"1,590.00",-,3,-,9,
,111,3,413,42.24,0.30,-0.20,50,0.35,0.45,"1,250","19,350.00","1,800","1,670.25","1,737.15","1,000",-,-,-,-,-,-,
,"2,176",-501,"1,767",44.98,0.30,-0.15,50,0.35,0.40,"1,450","19,400.00",500,"1,721.50","1,753.95",300,-640.35,"1,755.00",76.88,1,-,2,
,234,14,"1,107",45.58,0.30,-0.45,50,0.35,0.50,"1,300","19,450.00","1,800","1,772.25","1,839.80","1,500",-,-,-,-,-,-,
,"51,423","-5,088","25,118",46.11,0.35,-0.20,100,0.35,0.40,"11,200","19,500.00",300,"1,844.10","1,850.10",100,83.25,"1,849.45",73.19,"1,315",-861,"3,031",
,71,17,58,47.77,0.40,-0.20,250,0.40,0.60,"1,400","19,550.00","1,800","1,871.00","1,939.80","1,800",-,-,-,-,-,-,
,448,-5,150,47.60,0.30,-0.20,"2,400",0.25,0.30,450,"19,600.00","1,800","1,921.10","1,986.45","1,800",-,"1,824.00",-,-,-,4,
,106,-9,135,49.33,0.35,-0.10,250,0.35,0.70,"1,500","19,650.00","1,800","1,971.50","2,036.85","1,800",-,-,-,-,-,-,
,632,221,663,49.71,0.30,-0.15,"1,000",0.30,0.45,"1,750","19,700.00","3,300","1,923.35","2,091.75","1,500",-,-,-,-,-,-,
,484,-112,220,49.96,0.25,-0.35,"2,700",0.25,0.40,300,"19,750.00","1,500","1,969.60","2,138.60","1,500",-,-,-,-,-,-,
,"2,336",443,"1,031",53.15,0.40,-0.15,"4,450",0.35,0.45,"8,250","19,800.00","1,800","2,109.45","2,160.10",50,-,"2,260.00",-,-,-,8,
,449,16,217,54.80,0.45,-0.10,50,0.35,0.50,450,"19,850.00","1,800","2,156.50","2,217.75",50,-,-,-,-,-,-,
,"12,037",223,"3,144",55.27,0.30,-0.25,"16,700",0.30,0.45,"9,200","19,900.00","1,250","2,242.20","2,251.80",50,78.95,"2,247.35",86.39,254,-38,517,
,"7,050","-1,826","3,632",54.06,0.25,-0.25,"56,950",0.25,0.35,"11,050","19,950.00",200,"2,285.45","2,303.70",100,-401.55,"2,262.50",-,82,-6,75,
